flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
145;258.885;258;22.93058602;0.049455067;3.94E-05;0.035346872;4.007163601;0.003887146;-0.00386841;352;317.2;303.06;294;288;239;258;277
146;259.64;257;26.16869122;0.055135765;5.10E-05;0.038148205;4.077569363;0.004980497;-0.004911019;359;331.12;326.08;305.05;295.1;240.8;257;276
147;259.235;256;25.61542065;0.054539221;4.91E-05;0.038769553;4.010597303;0.004778822;-0.004699831;352;334.03;319.14;310.05;293;238;256;277
148;260.67;257;27.49147322;0.058243373;5.59E-05;0.041285342;4.044573643;0.005445251;-0.005363285;380;340.01;315.34;308.15;295.3;237;257;282.2
149;263.8;264;26.57160138;0.055832828;5.10E-05;0.039298711;4.044364052;0.004993206;-0.004939911;354;340.03;333.12;311;295.2;240;264;284
150;261.435;258;26.66619161;0.056074454;5.23E-05;0.039338555;3.934034956;0.005099556;-0.005024413;356;335.05;323.06;314;297.3;241;258;282
151;262.87;261.5;24.84960965;0.053458744;4.49E-05;0.038091262;4.026656512;0.00442968;-0.004407907;331;324.01;317.08;308.05;296.1;241;261.5;282
152;259.29;256;25.73200148;0.055500983;4.95E-05;0.039408384;4.001534919;0.004853067;-0.004804165;345;320.19;315.08;309.05;295;237;256;281
153;259.815;256;24.0054322;0.05195822;4.29E-05;0.037653234;4.149011858;0.00423699;-0.004223035;336;325.1;313.02;298.05;290;239;256;279.2
154;263.115;259;23.46128247;0.04972664;4.00E-05;0.036170876;4.02567491;0.003912552;-0.003864756;344;325.15;317.04;305;295.1;242;259;283
155;259.59;257.5;24.46797703;0.052391463;4.46E-05;0.037122193;4.05483181;0.004371785;-0.004321681;351;328.12;318.06;299.05;290;240;257.5;279.2
156;260.15;258;22.87525956;0.04895272;3.89E-05;0.034173554;3.842875672;0.003840839;-0.003831641;327;322.04;319.04;302.1;286.2;241;258;279
157;261.295;259;26.17189284;0.05559186;5.04E-05;0.039295911;3.995149399;0.004946899;-0.004904544;357;340.05;324.2;304.05;293;238;259;282
158;260.385;259;25.88159143;0.05517839;4.96E-05;0.038551664;3.994016599;0.00489017;-0.0048666;357;330;327.02;303.1;292.1;238;259;278
159;260.405;257;25.91449353;0.05460043;4.98E-05;0.038255026;4.010808724;0.004838305;-0.004750563;363;327.02;324.04;314.1;297.1;238;257;279.2
160;256.895;255;25.39968455;0.054229257;4.91E-05;0.0379333;3.817041199;0.004782516;-0.004702699;345;337.03;317.14;303.15;292.2;235;255;274
161;261.595;257.5;27.02556151;0.057121791;5.36E-05;0.041159999;4.097429996;0.005226997;-0.005149572;382;328.24;324.08;306;296;240.8;257.5;285
162;261.425;259.5;24.33278395;0.052589557;4.35E-05;0.0373348;3.99923445;0.004299206;-0.004282739;329;322;321.02;301.35;293.2;240;259.5;284
163;260.365;256.5;25.78122912;0.055101588;4.93E-05;0.039286867;3.927726675;0.004824266;-0.00477018;360;327.06;317.12;308;295.1;239;256.5;281.2
