flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
158;159.765;156;20.0556669;0.06562811;7.92E-05;0.046797797;4.117272148;0.007490594;-0.007196644;266;227.05;206.3;194.05;185.2;145;156;173
159;160;156;21.44830996;0.066796875;9.03E-05;0.04721875;4.097477421;0.008283084;-0.007778802;310;217.37;203.14;198;184;145;156;173
160;161.015;155;27.0398738;0.079240599;0.000141718;0.054775487;3.749343449;0.012641707;-0.0116001;335;265.05;253.08;209.3;190;144;155;172
161;162.725;155;28.20016622;0.085784145;0.000150918;0.061790598;3.653272101;0.013720662;-0.012768296;309;262.29;245.12;218.05;198.3;143;155;178
162;159.71;156.5;21.13423526;0.069561706;8.80E-05;0.048956859;4.227529022;0.008340897;-0.008026575;249;231.08;218.24;200.1;186;143;156.5;174
163;160.875;156;23.32165035;0.069229992;0.000105606;0.048108003;3.896780018;0.009567188;-0.008873136;302;257.19;225;204.5;183.1;145;156;172
164;161.93;157;25.02089327;0.07887791;0.000119977;0.055699376;3.907266646;0.011101712;-0.010488383;290;263.09;222.38;208.05;192;143;157;176.2
165;162.04;157;23.22839641;0.074359726;0.000103262;0.052580844;3.767099057;0.00967837;-0.009221277;262;242.13;226.24;208.2;189.2;144;157;176.2
166;161.325;156;24.24065542;0.073095769;0.000113457;0.051198667;3.717581776;0.010274022;-0.009541881;317;261.14;215.4;200;188.1;144;156;175
167;162.615;158;27.72916831;0.077925622;0.000146117;0.053463703;4.148631445;0.012767589;-0.011552158;365;265.27;236.48;206.05;187.1;145;158;173.2
168;160.43;156.5;23.3611879;0.073287415;0.000106553;0.050966465;3.871771772;0.00987288;-0.009326351;278;244.07;236.16;203.1;184;143;156.5;171.2
169;161.14;158;22.92706697;0.072663522;0.000101727;0.051107112;3.869933454;0.009441932;-0.008953569;301;240.12;226.1;197.05;186;144;158;176
170;163.105;158;25.05461983;0.07870896;0.000118574;0.055255664;3.829997012;0.011001197;-0.010418682;293;255.15;231.2;205.1;191.3;144;158;177.2
171;163.63;157.5;27.12163528;0.083318462;0.000138055;0.058806148;3.930154874;0.012666463;-0.011881146;287;282.04;236.34;211.3;197.1;144;157.5;177
172;164.485;158;27.4670671;0.082735356;0.000140126;0.058549716;4.249048223;0.01275864;-0.011885269;313;266.09;241.44;219.05;198;144;158;177
173;161.07;156.5;25.95737082;0.076729993;0.000130509;0.053580741;3.690946024;0.011601335;-0.010667966;358;243.18;231.12;200;184.1;143;156.5;174
174;159.74;155;21.17244436;0.068886315;8.83E-05;0.048994616;4.033102144;0.008305953;-0.00794408;261;246.02;207.38;197;184.1;143.8;155;175
175;163.7;157;26.25261892;0.082036347;0.000129239;0.05809102;4.166455696;0.012007133;-0.011363353;273;251.18;249.02;212.35;204;144;157;179.2
176;162.235;158;22.63006352;0.075873733;9.78E-05;0.054000062;3.926976463;0.009383868;-0.009128526;244;225.05;218.12;209;196.1;143.8;158;179
177;162.725;157;23.8402889;0.07366554;0.00010786;0.052520356;3.774278988;0.00992471;-0.009333845;301;228.56;218.04;205.4;188.1;145;157;177
178;163.895;157;28.50024517;0.082876994;0.000151954;0.058634492;4.265564202;0.013620857;-0.012512433;314;278.09;258.2;216.55;196.1;144.8;157;176
179;165.895;161.5;24.80572464;0.079334971;0.000112353;0.056633111;4.086280488;0.010606949;-0.010182689;268;255.05;236.2;210.1;198.1;146;161.5;180.4
180;163.575;157;24.72558139;0.077840287;0.000114817;0.055422589;4.039951205;0.010714917;-0.01019991;277;262.05;241.14;204.1;191.1;145;157;178.2
181;164.525;158;30.95221115;0.086922504;0.000177855;0.060662513;4.202426564;0.015348707;-0.013825629;406;282.17;228.58;212;200.1;144;158;178
